Year,Revenue (KES M),Expenses (KES M),Profit (KES M),Margin (%)
2022,52.85751191000001,9.627001,43.23051091000001,81.8
2023,59.16816718,14.761977020000002,44.406190159999994,75.1
2024,66.17476896,22.03351568,44.141253279999994,66.7
2025,72.71740640000098,27.88067924666757,44.83672715333341,61.7
